Group,Variable,RelDay,Mean,Std,N,SEM
Failed P90 spell,SLA_z,-21,1.52989452072464,0.688179637293715,13,0.190866689922515
Failed P90 spell,SLA_z,-20,1.53455644265431,0.688275600133481,13,0.19089330522554
Failed P90 spell,SLA_z,-19,1.53559084966213,0.687044864595958,13,0.190551960603457
Failed P90 spell,SLA_z,-18,1.53605720820283,0.683627161486896,13,0.189604060310839
Failed P90 spell,SLA_z,-17,1.53791698898323,0.678848752045163,13,0.188278767983352
Failed P90 spell,SLA_z,-16,1.54216467243418,0.674178101144956,13,0.18698336249793
Failed P90 spell,SLA_z,-15,1.47629553089583,0.697919715593997,14,0.186526889944818
Failed P90 spell,SLA_z,-14,1.49137127644026,0.685744694358188,14,0.183272978649025
Failed P90 spell,SLA_z,-13,1.5043954120775,0.678650002461257,14,0.181376842481666
Failed P90 spell,SLA_z,-12,1.51376166195904,0.67582862270343,14,0.180622797023682
Failed P90 spell,SLA_z,-11,1.51871031359046,0.676543250464408,14,0.180813789326586
Failed P90 spell,SLA_z,-10,1.5199045898322,0.680314765357662,14,0.181821769080848
Failed P90 spell,SLA_z,-9,1.51869663168252,0.686922732182264,14,0.183587822500907
Failed P90 spell,SLA_z,-8,1.5169366308985,0.695526404773862,14,0.185887250722746
Failed P90 spell,SLA_z,-7,1.51635642488551,0.705193861497218,14,0.188470987212765
Failed P90 spell,SLA_z,-6,1.51782157084679,0.715610581905241,14,0.191254972845667
Failed P90 spell,SLA_z,-5,1.52159259720159,0.727504755148915,14,0.194433824358293
Failed P90 spell,SLA_z,-4,1.52624104180705,0.742670126747122,14,0.198486940405693
Failed P90 spell,SLA_z,-3,1.53080286866698,0.762983020432175,14,0.203915789598796
Failed P90 spell,SLA_z,-2,1.53450763550957,0.789486182299605,14,0.210999057554091
Failed P90 spell,SLA_z,-1,1.53662530941468,0.821453098651667,14,0.219542575318454
Failed P90 spell,SLA_z,0,1.53650479843779,0.855920453267999,14,0.228754363318651
Failed P90 spell,SLA_z,1,1.53361967796715,0.888458873514691,14,0.23745062192365
Failed P90 spell,SLA_z,2,1.52623317234024,0.915472286391041,14,0.244670260197276
Failed P90 spell,SLA_z,3,1.51358895951647,0.934255209675243,14,0.249690207600958
Failed P90 spell,SLA_z,4,1.49455336662409,0.945440453784085,14,0.252679589832581
Failed P90 spell,SLA_z,5,1.4688153541637,0.952502970709961,14,0.254567126877218
Failed P90 spell,SLA_z,6,1.4364825958717,0.960851859449138,14,0.256798461250239
Failed P90 spell,SLA_z,7,1.39975528557469,0.974439303712964,14,0.260429858478605
Failed P90 spell,SLA_z,8,1.36073761451882,0.995676095023152,14,0.266105629698401
Failed P90 spell,SLA_z,9,1.32201969013375,1.02446630247716,14,0.273800136297476
Failed P90 spell,SLA_z,10,1.28621630361256,1.05816236558566,14,0.282805787971413
Failed P90 spell,SLA_z,11,1.25568015440464,1.09266757667853,14,0.292027693540543
Failed P90 spell,SLA_z,12,1.23250289031837,1.1238168817617,14,0.300352695501781
Failed P90 spell,SLA_z,13,1.21680721911065,1.14944351984091,14,0.30720170262087
Failed P90 spell,SLA_z,14,1.20748745985139,1.16897497265829,14,0.312421702957196
Failed P90 spell,SLA_z,15,1.2030502782666,1.18450521534005,14,0.316572334903525
Failed P90 spell,SLA_z,16,1.20245542727692,1.19887374874439,14,0.32041248698563
Failed P90 spell,SLA_z,17,1.20425675018368,1.21425583628712,14,0.324523522805505
Failed P90 spell,SLA_z,18,1.20810495491394,1.23099415480828,14,0.328997026600995
Failed P90 spell,SLA_z,19,1.21457572116514,1.24706912169938,14,0.333293242216012
Failed P90 spell,SLA_z,20,1.22441832232455,1.25986804806938,14,0.336713899172805
Failed P90 spell,SLA_z,21,1.23771875451064,1.26596662230851,14,0.338343811697849
Failed P90 spell,SLA_z,22,1.25427993388875,1.2633786831928,14,0.337652155875792
Failed P90 spell,SLA_z,23,1.27323205579716,1.25240757498021,14,0.334720003869739
Failed P90 spell,SLA_z,24,1.29361023188747,1.23591103559805,14,0.330311118267204
Failed P90 spell,SLA_z,25,1.31290836353498,1.21693222498111,14,0.3252388177717
Failed P90 spell,SLA_z,26,1.32853416534754,1.19848555192141,14,0.320308737020615
Failed P90 spell,SLA_z,27,1.33850245890828,1.18281722102751,14,0.316121199447214
Failed P90 spell,SLA_z,28,1.34208981171848,1.17149281151818,14,0.313094623697828
Failed P90 spell,SLA_z,29,1.3395888496614,1.16546506291247,14,0.31148364011953
Failed P90 spell,SLA_z,30,1.33286677588276,1.16511620890304,14,0.311390404963723
Failed P90 spell,SLA_anom,-30,0.0356288087494772,0.0219170105909642,13,0.00607868503773913
Failed P90 spell,SLA_anom,-29,0.0362273999523924,0.0213460046554253,13,0.00592031648549454
Failed P90 spell,SLA_anom,-28,0.0368589922548578,0.0209053666198368,13,0.00579810548309191
Failed P90 spell,SLA_anom,-27,0.0375272362720112,0.0205724282656636,13,0.00570576499789652
Failed P90 spell,SLA_anom,-26,0.0382136648007483,0.0203143347083844,13,0.00563418272446291
Failed P90 spell,SLA_anom,-25,0.0388900834742552,0.0200797555612083,13,0.00556912217497843
Failed P90 spell,SLA_anom,-24,0.0394956715381316,0.0198617565108724,13,0.00550866011697931
Failed P90 spell,SLA_anom,-23,0.0399807666401983,0.0196564669218688,13,0.00545172302932769
Failed P90 spell,SLA_anom,-22,0.0403123264629186,0.0194584888897167,13,0.00539681380268616
