Group,OnsetDate,Month,SSH_pre_z,D26_pre_z,T100_pre_z,T100_excess_pre,PrecursorIndex
Near-miss P85-P90,2011-07-08,7,0.212019269140631,0.651451288838094,0.775491620244282,-0.186658799817345,0.431735278989363
Near-miss P85-P90,2013-08-20,8,1.19581616103383,1.60610540281607,1.65587571355535,0.0933630663806664,1.40096078192495
Near-miss P85-P90,2013-09-09,9,0.855025053689337,0.642428043233444,0.801535550735899,-0.236417623398368,0.748726548461391
Near-miss P85-P90,2013-10-20,10,1.0691186138237,0.506837741778279,1.07643778414238,-0.0892234035980543,0.787978177800988
Near-miss P85-P90,2013-11-09,11,1.74783580974283,0.9002795598282,1.43054743624458,-0.0633658291943718,1.32405768478552
Near-miss P85-P90,2014-04-21,4,0.807366547139799,0.613716843037297,1.3408877993406,0.0244144809070853,0.710541695088548
Near-miss P85-P90,2014-05-18,5,1.04070177352352,0.244737173433324,0.77998263920349,-0.102705424615183,0.64271947347842
Near-miss P85-P90,2015-02-25,2,1.57250097540089,0.0676442469716748,1.05292077331396,-0.0992666277041863,0.820072611186282
Near-miss P85-P90,2016-05-29,5,2.63837372290329,1.75638701749017,1.43394784145603,0.205253681336389,2.19738037019673
Near-miss P85-P90,2017-03-08,3,1.63598308384652,0.210664512950621,0.913902815362055,-0.197326748799451,0.923323798398571
Near-miss P85-P90,2017-09-12,9,1.32059844784108,1.14276544292515,1.06964607451963,-0.0953361720895039,1.23168194538311
Near-miss P85-P90,2018-07-27,7,0.967751277053594,1.62424711754573,1.0636426616643,-0.0220862591682202,1.29599919729966
Near-miss P85-P90,2018-08-16,8,0.488812714380456,1.51082098668385,0.947247616075127,-0.235370765773813,0.999816850532151
Near-miss P85-P90,2019-02-03,2,1.31106596365676,0.523140079256934,1.06145661837771,-0.0393141085032795,0.917103021456848
Near-miss P85-P90,2019-02-23,2,1.31661273301057,0.286011857542234,1.32032187011568,0.0623652894160202,0.801312295276403
Near-miss P85-P90,2019-03-27,3,1.37477854611151,0.574565590605246,0.888880386929293,-0.22735439666811,0.974672068358377
Near-miss P85-P90,2019-04-16,4,1.44028511263028,0.496500893494288,1.083715796196,-0.117999042544388,0.968393003062283
Near-miss P85-P90,2019-06-07,6,2.32846021791948,0.863387809537668,0.646105274275996,-0.241976295574942,1.59592401372858
Near-miss P85-P90,2020-11-23,11,3.23960343106147,1.33158795095854,1.77268180463,0.14043196738838,2.28559569101001
Near-miss P85-P90,2020-12-17,12,2.10830615723428,0.435579079890223,1.24308108461549,-0.0204677785989144,1.27194261856225
Near-miss P85-P90,2021-01-21,1,2.41245258519692,0.378430045928956,1.16807081666341,0.060098502219336,1.39544131556294
Near-miss P85-P90,2022-04-02,4,2.18359290526476,0.187982618548203,0.830377138656761,-0.257869055834905,1.18578776190648
Near-miss P85-P90,2023-07-21,7,2.82433054912305,0.753123842401421,0.779948101591659,-0.17195986089699,1.78872719576223
Near-miss P85-P90,2024-01-11,1,3.17045570651212,1.84023859712999,1.73977105436437,0.333796159288584,2.50534715182106
Near-miss P85-P90,2024-03-07,3,3.49681873607036,1.60524587425035,1.03444576458901,-0.134322407953472,2.55103230516035
Near-miss P85-P90,2024-10-24,10,3.34100039110694,1.8467571485153,1.16312020854719,-0.0581772809845624,2.59387876981112
Random non-event,1993-01-24,1,0.966714073057809,1.17366520891954,0.885346582965093,-0.0897087636318204,1.07018964098868
Random non-event,1993-06-26,6,-0.511134908635172,0.141370612586195,0.254219489961844,-0.557095356514987,-0.184882148024488
Random non-event,1993-11-06,11,-0.478779325042301,-0.115081680194619,-0.0160003134474531,-0.822651036253842,-0.29693050261846
Random non-event,1996-06-04,6,0.163842483087596,1.20308975360223,0.595775375975414,-0.29235226043401,0.683466118344913
Random non-event,1996-11-27,11,-0.957928400134972,-0.99422749983914,-0.222708739240579,-0.94864092477195,-0.976077949987056
Random non-event,1997-03-29,3,-0.427573734953748,-1.15445399248786,-0.541889193855129,-0.987221512956138,-0.791013863720806
Random non-event,1998-03-17,3,0.567218051319557,-0.223777755767415,-1.38281681451589,-1.44491767165987,0.171720147776071
Random non-event,1998-08-03,8,0.30060027621184,-0.843430203237277,-1.42278129257949,-1.37962813564285,-0.271414963512719
Random non-event,1999-03-11,3,-0.131398720961359,-1.70312241282149,-1.54778852149762,-1.50842048303749,-0.917260566891427
Random non-event,2000-04-07,4,-1.34114969251256,-1.34930458440053,-1.551404752248,-1.55201843851612,-1.34522713845655
Random non-event,2000-06-01,6,-0.333318324217678,-1.05978341182078,-0.666547616105966,-0.95590460582129,-0.696550868019231
Random non-event,2000-07-03,7,-1.11575601292677,-1.24264234546356,-1.38263943658391,-1.3950232788172,-1.17919917919516
Random non-event,2000-07-30,7,-1.028782916139,-1.48979267213123,-1.87820973381676,-1.61131973689448,-1.25928779413511
Random non-event,2001-04-26,4,-0.721019147785852,-1.61198001433895,-0.820145236337716,-1.13789476543765,-1.1664995810624
Random non-event,2001-09-04,9,-1.26331876681687,-0.67616507839183,-1.21603825496126,-1.30762618174868,-0.969741922604352
Random non-event,2002-01-13,1,0.239004597686335,-0.426361398369456,-0.627209091595245,-0.939868396989997,-0.0936784003415603
Random non-event,2003-04-15,4,0.262560960800491,0.86845977800001,0.524568452544261,-0.419484369256871,0.565510369400251
Random non-event,2004-06-12,6,-1.07181585148394,-0.0385566869722281,-0.0602585757290472,-0.588166752060052,-0.555186269228084
Random non-event,2004-07-07,7,-0.91439501882236,0.640123708688403,0.449625250067631,-0.370434808896782,-0.137135655066978
Random non-event,2004-10-04,10,-0.639162301772241,-0.462259773357268,0.475876991457024,-0.463039543271491,-0.550711037564755
Random non-event,2005-08-02,8,-0.277901262709043,0.0453955797396866,-0.408228644371094,-0.829266618101531,-0.116252841484678
Random non-event,2005-09-08,9,-0.774190541643585,-0.140389808909245,-0.0414126032576731,-0.688305630543004,-0.457290175276415
Random non-event,2005-11-29,11,-0.72797165639636,-1.69896393588596,-1.54004713959695,-1.67273565671751,-1.21346779614116
Random non-event,2006-01-31,1,-1.04366603392599,-2.08362208626007,-1.07469684790531,-1.17397932157533,-1.56364406009303
Random non-event,2006-02-23,2,0.141679996256541,-1.3252078185762,-0.390646672596016,-0.85840710206857,-0.591763911159831
Random non-event,2006-09-24,9,-0.426151144885084,-0.246354497309728,0.249426344962745,-0.533127585167282,-0.336252821097406
Random non-event,2009-04-21,4,0.854532955262358,1.02277185514515,0.591561630552232,-0.378841821715371,0.938652405203755
Random non-event,2009-07-05,7,0.157159088989044,0.349122454285589,0.0135823861505238,-0.624068335514687,0.253140771637317
Random non-event,2009-09-27,9,0.257881498139698,0.00424136472683755,0.00776058765544989,-0.667146941501829,0.131061431433268
Random non-event,2010-03-12,3,1.37314071364762,0.563736220272396,1.12405189927552,-0.0682005562127546,0.968438466960009
Random non-event,2010-04-01,4,0.830986583784171,0.418761681941015,0.779798012672229,-0.280955255325507,0.624874132862593
Random non-event,2010-07-08,7,1.04093346400317,0.661336030171347,0.552989467185053,-0.306400241269047,0.851134747087258
Random non-event,2011-05-10,5,0.662025320123352,0.248251837356524,0.688626938566533,-0.239623861841767,0.455138578739938
Random non-event,2013-09-23,9,0.612853251498329,-0.335303735147027,0.55088203929148,-0.370748036614824,0.138774758175651
Random non-event,2014-08-04,8,0.766251286020796,0.612886766799984,0.241875326050263,-0.494097726027809,0.68956902641039
Random non-event,2014-12-21,12,1.1262541912273,0.339378366551795,0.661591584204257,-0.283130823575624,0.73281627888955
Random non-event,2017-06-07,6,0.547166258871632,0.662635846040116,0.434197153212205,-0.356016467872715,0.604901052455874
Random non-event,2017-10-10,10,0.954651028544376,1.29662450224906,0.658146223489315,-0.389363518711452,1.12563776539672
Random non-event,2018-02-03,2,0.797885219859948,0.592879450638674,0.70917886111039,-0.228895404084419,0.695382335249311
Random non-event,2018-06-20,6,0.892399447507718,0.190186509588252,0.420173788530493,-0.433808181720213,0.541292978547985
Random non-event,2018-08-10,8,0.545671654886575,1.04986839078771,0.958958524641587,-0.164754886400383,0.797770022837145
Random non-event,2018-12-25,12,1.44222116665574,-0.212042610324148,0.584668606591819,-0.286784449707214,0.615089278165797
Random non-event,2019-02-27,2,1.31244037281268,-0.100270373258402,1.22686324750074,-0.0172041082076426,0.606084999777139
Random non-event,2023-05-28,5,2.28126141746712,0.643150347796158,0.815644936113181,-0.115896860379631,1.46220588263164
Random non-event,2023-07-05,7,2.35875832435283,0.449653461977948,0.429594466510702,-0.400187867488884,1.40420589316539
Random non-event,2024-01-16,1,3.1026027220611,1.31758477372934,1.28177628786316,0.0912507655683985,2.21009374789522
Random non-event,2024-02-28,2,3.5156365829,0.78454782855431,0.951598133443683,-0.168955368259804,2.15009220572716
